id_title;title;commentCount;dislikeCount;likeCount;viewCount;commentators_uniq;comments_obscene_cnt;video_age
9585;Заземлилась;1;0;2;244;;;1107
9586;Зайки врозь;0;0;5;267;;;153
9587;Закат;0;22;286;15781;;;292
9588;Заклинание;0;5;49;5413;1;0;273
9589;Заключительная песенка;0;0;1;99;;;379
9590;Закрой глаза;29;57;587;65260;12;0;1427
9591;Закулисье тура в Барнауле - Елена Темникова TEMNIKOVA TOUR 17/18;48;22;826;43247;37;1;338
9592;Закулисье тура в Екатеринбурге - Елена Темникова (TEMNIKOVA TOUR 17/18);16;9;210;8462;13;0;371
9593;Закулисье тура в Красноярске - Елена Темникова TEMNIKOVA TOUR 17/18;31;8;393;16995;26;2;330
9594;Закулисье тура в Магнитогорске - Елена Темникова (TEMNIKOVA TOUR 17/18);10;7;243;9633;10;0;365
9595;Закулисье тура в Новокузнецке - Елена Темникова TEMNIKOVA TOUR 17/18;22;14;307;20752;21;0;336
9596;Закулисье тура в Пятигорске - Елена Темникова (TEMNIKOVA TOUR 17/18);15;13;165;7027;10;0;346
9597;Закулисье тура в Санкт-Петербурге - Елена Темникова TEMNIKOVA TOUR 17/18;42;25;509;25925;32;0;326
9598;Закулисье тура в Тюмени - Елена Темникова (TEMNIKOVA TOUR 17/18);17;14;225;9880;14;1;369
9599;Закулисье тура в Уфе - Елена Темникова (TEMNIKOVA TOUR 17/18);10;11;214;8923;4;0;362
9600;Закулисье тура в Челябинске - Елена Темникова (TEMNIKOVA TOUR 17/18);24;7;328;15828;18;0;367
9601;Закулисье: Live над облаками - Елена Темникова (концерт на высоте 2320 м);54;22;999;35099;48;0;218
9602;Зальцбургский фестиваль: Штраус, Вагнер, Брамс (2012);0;0;8;410;;;475
9603;Замкнутый круг;1;13;211;12639;;;292
9604;Занавес;0;0;0;90;;;1558
9605;Занозы души;0;5;5;2937;;;267
9606;Занозы души;0;0;0;32;;;262
9607;Занятные Дни;0;1;2;171;;;377
9608;Западло;0;1;13;2310;;;275
9609;Запах воска;0;1;44;4479;;;267
9610;Запах пива;0;0;9;664;;;1735
9611;Запахло весной;0;1;8;520;;;262
9612;Запахло весной;0;3;16;1100;;;262
9613;Запахло весной;0;1;6;393;;;262
9614;Запахло весной;0;2;16;827;;;267
9615;Запахло весной;0;78;403;28356;;;267
9616;Запахло весной;0;417;1409;101414;;;267
9617;Запахло весной;0;4;52;5151;;;267
9618;Запахло весной;0;1;11;778;;;355
9619;Запахло весной (Live);0;0;0;25;;;272
9620;Запахло весной (Live);0;0;0;133;;;1070
9621;Запахло весной (Remix 2010);0;0;8;772;;;262
9622;Запись барабанов для нового сингла группы Кипелов;80;29;420;77469;32;2;2396
9623;Запись бас-гитары для сингла группы Кипелов;25;9;269;36974;19;0;2387
9624;Запись гитарных партий для нового сингла;21;10;345;28436;20;1;2380
9625;Запись нового альбома группы LOUNA;24;6;331;4964;19;0;456
9626;Запись нового альбома группы LOUNA - часть II;13;2;289;4539;13;0;455
9627;Запись нового альбома группы LOUNA - часть III;12;3;216;4378;11;0;448
9628;Запись нового альбома группы LOUNA - часть IV;3;4;203;4966;2;0;441
9629;Запись нового альбома группы LOUNA - часть V;24;8;569;14212;20;0;411
9630;"Запись оркестра ""Глобалис"" для нового сингла.";22;3;183;23743;20;0;2375
9631;"Запись оркестра ""Глобалис"" для сингла группы Кипелов часть 2";37;2;239;13230;29;0;2165
